log_number,X_uuid,date_assessment,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
1,d7663427-879c-48a4-8ab2-a60e60402937,15/06/2021,576,preg_lactating,"if lactating or pregnant, there should be atleast one HH female member between 11 and 59 yrs",Flagged,NA,yes,no,1
2,ef3907f2-5a5f-48e7-ae4e-67e6f7578fbb,17/06/2021,58645,coping_children_dropout,"if HH reports that a child dropped out of school as a coping strategy for a lack of food, but also reports either having no children in the house or having no children dropped out of school",Flagged,NA,yes,no,2
3,795bd092-c890-4b94-9e59-9af61f754e90,16/06/2021,51691,coping_child_labour ,"if HH reports that a child has gone to work as coping strategy for a lack of food, but also reports either  having no children in the house or having no children working",Flagged,NA,yes,no,3
4,2b158973-310e-4079-8547-a678af9081b6,17/06/2021,58214,coping_child_labour ,"if HH reports that a child has gone to work as coping strategy for a lack of food, but also reports either  having no children in the house or having no children working",Flagged,NA,yes,no,3
5,afc6af58-edfc-41a0-bb8f-63682fb764bd,17/06/2021,4706,coping_child_labour ,"if HH reports that a child has gone to work as coping strategy for a lack of food, but also reports either  having no children in the house or having no children working",Flagged,NA,yes,no,3
6,5bad0a3b-f65e-4bbd-aecf-851974583d24,16/06/2021,4706,coping_child_labour ,"if HH reports that a child has gone to work as coping strategy for a lack of food, but also reports either  having no children in the house or having no children working",Flagged,NA,yes,no,3
7,aa51af33-e23f-4ea8-8799-ef6f19599621,17/06/2021,58214,school_safety,"if HH reports that it is unsafe or very unsafe to travel to school, but does not report any protection threats of children",Flagged,NA,unsafe,NA,8
8,afc6af58-edfc-41a0-bb8f-63682fb764bd,17/06/2021,4706,school_safety,"if HH reports that it is unsafe or very unsafe to travel to school, but does not report any protection threats of children",Flagged,NA,unsafe,NA,8
9,5bc66598-4ae3-49a2-a8a2-e5a010317274,17/06/2021,4706,school_safety,"if HH reports that it is unsafe or very unsafe to travel to school, but does not report any protection threats of children",Flagged,NA,unsafe,NA,8
10,1ac6edac-0f87-4da6-98b5-262433f06025,15/06/2021,56426,school_safety,"if HH reports that it is unsafe or very unsafe to travel to school, but does not report any protection threats of children",Flagged,NA,neither_unsafe_safe,NA,8
11,d1f31fd3-46c4-4b91-8f7e-c50fecce7ce2,16/06/2021,4692,school_safety,"if HH reports that it is unsafe or very unsafe to travel to school, but does not report any protection threats of children",Flagged,NA,unsafe,NA,8
12,a1434938-89eb-48b5-add0-ff61c7b1d076,16/06/2021,58645,school_safety,"if HH reports that it is unsafe or very unsafe to travel to school, but does not report any protection threats of children",Flagged,NA,unsafe,NA,8
13,81863783-e150-4a1f-a86e-a7252fb847a7,16/06/2021,52469,school_safety,"if HH reports that it is unsafe or very unsafe to travel to school, but does not report any protection threats of children",Flagged,NA,unsafe,NA,8
14,d7663427-879c-48a4-8ab2-a60e60402937,15/06/2021,576,shelter_type,"if reported shelter is tent, but HH reports having defects related to windows, floors, or foundation",Flagged,NA,tent,tent,11
15,c1f0fd34-bf13-41ea-aab7-7eed974621b5,17/06/2021,58541,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment,NA,15
16,741c420f-df7c-4d97-8b6f-8dcd24db9226,17/06/2021,56426,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment,NA,15
17,0576d5df-e6c1-446e-b61b-19c40008aeda,17/06/2021,57981,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment,NA,15
18,fffd401d-7b32-478d-8ebb-f055959b4358,17/06/2021,3,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment,NA,15
19,a1434938-89eb-48b5-add0-ff61c7b1d076,16/06/2021,58645,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment,NA,15
20,eb5b9247-443a-485d-a658-feb57d287f3b,17/06/2021,56426,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",Flagged,NA,yes,NA,18
21,741c420f-df7c-4d97-8b6f-8dcd24db9226,17/06/2021,56426,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",Flagged,NA,yes,NA,18
22,8bb9d29b-1f6c-41fa-a96f-0d2c6d1dc6df,17/06/2021,56426,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",Flagged,NA,yes,NA,18
23,b10e831a-abb3-40d8-b3d3-8dba2c5a3e73,17/06/2021,56426,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",Flagged,NA,yes,NA,18
24,3ce793f2-2625-4e5b-93fd-01c3c899887b,17/06/2021,56426,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",Flagged,NA,yes,NA,18
25,d7663427-879c-48a4-8ab2-a60e60402937,15/06/2021,576,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",Flagged,NA,yes,NA,18
26,bbe9e380-0078-4804-b9ce-a3198b953de1,15/06/2021,56426,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",Flagged,NA,yes,NA,18
