log_number,X_uuid,date_assessment,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
1,d7663427-879c-48a4-8ab2-a60e60402937,2021-06-15,576,preg_lactating,"if lactating or pregnant, there should be atleast one HH female member between 11 and 59 yrs",Flagged,NA,yes,NA,1
2,88257ae5-915b-47dc-bd63-ca5d5fd67275,2021-06-15,1,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
3,4f456c42-008e-4258-9678-aa39ae439953,2021-06-15,58214,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
4,d1f31fd3-46c4-4b91-8f7e-c50fecce7ce2,2021-06-16,4692,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
5,ffaf1353-4837-41fc-98e8-960528e62fe6,2021-06-16,4706,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
6,5bad0a3b-f65e-4bbd-aecf-851974583d24,2021-06-16,4706,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
7,934bca2c-8098-4367-bcfd-6c82bb91b6fc,2021-06-16,57981,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
8,562080f7-d0d1-411b-9274-6252e28a3759,2021-06-16,57981,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
9,65fd8fa4-7c05-4f8a-8dda-2cf3cbd71a92,2021-06-16,58645,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
10,f8883054-5930-49f4-8037-70f6720bed2c,2021-06-16,58645,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
