log_number,X_uuid,date_assessment,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
1,c438bbbe-132b-4fdf-8407-19b5156239db,2021-05-05,2,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
2,1f4079f1-1cbe-4001-9180-2c9f7df28657,2021-05-05,2,skipped_meals,"if HH reports a member skipped a meal, but did not (1) eat less or (2) go without eating the whole day",Flagged,NA,yes,NA,3
3,f7371928-d15d-4851-9f05-52be489720e4,2021-05-06,2,skipped_meals,"if HH reports a member skipped a meal, but did not (1) eat less or (2) go without eating the whole day",Flagged,NA,yes,NA,3
4,ee0894f1-1247-40eb-9f6f-2b26c6eed634,2021-05-05,2,drinking_water_source,if HH reports drinking water comes from unimproved source but domestic water comes from improved,Flagged,NA,unprot_tank,NA,9
5,f2bbac94-b06c-4be4-bcca-7c609a0f9408,2021-05-05,2,shelter_type_inperson,"if reported shelter is tent, but HH reports having defects related to windows, floors, or foundation",Flagged,NA,tent,NA,13
6,c438bbbe-132b-4fdf-8407-19b5156239db,2021-05-05,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,savings employment,NA,17
7,1f4079f1-1cbe-4001-9180-2c9f7df28657,2021-05-05,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment remittances,NA,17
8,f2bbac94-b06c-4be4-bcca-7c609a0f9408,2021-05-05,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,charity_assistance cash_assistance social_service,NA,17
9,b8c41310-d3e7-49a1-afc0-3de2e24fa8bf,2021-05-05,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,employment remittances,NA,17
10,ee0894f1-1247-40eb-9f6f-2b26c6eed634,2021-05-05,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,selling_assistance cash_assistance community_support charity_assistance,NA,17
11,068124a3-8851-45d4-bb9a-4d8f03e25509,2021-05-06,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,illegal_activites remittances,NA,17
12,91a2b0c3-2b7d-4970-a06e-f023425d6461,2021-05-06,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,retirement_pension sale_of_hh_assets employment,NA,17
13,f7371928-d15d-4851-9f05-52be489720e4,2021-05-06,2,primary_livelihood,"if HH report that any family members worked outside the home in past 30 days, but does not report any income from employment",Flagged,NA,cash_assistance employment,NA,17
