log_number,X_uuid,date_assessment,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
1,d7663427-879c-48a4-8ab2-a60e60402937,2021-06-15,576,preg_lactating,"if lactating or pregnant, there should be atleast one HH female member between 11 and 59 yrs",Flagged,NA,yes,NA,1
2,6c7c835d-2561-4157-bebc-9635840ca637,2021-06-16,51691,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
3,795bd092-c890-4b94-9e59-9af61f754e90,2021-06-16,51691,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
4,0e75c443-56d9-440f-a294-12ddbf770946,2021-06-16,51691,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
5,b35de245-9c17-417c-9966-66eef9f7a027,2021-06-16,58541,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
6,83743ff9-e174-4e7f-bae2-2f0457e224df,2021-06-17,58541,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
7,c1f0fd34-bf13-41ea-aab7-7eed974621b5,2021-06-17,58541,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
8,b33f440b-76fc-4d49-bb8f-41df7aa1b37a,2021-06-17,58541,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
9,5ed3e2e4-576b-4ce0-8d1b-9168c8798c2f,2021-06-17,52469,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
10,965d7e68-7b5e-448a-b46f-86a7cbde27d3,2021-06-17,52469,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
11,741c420f-df7c-4d97-8b6f-8dcd24db9226,2021-06-17,56426,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
12,8bb9d29b-1f6c-41fa-a96f-0d2c6d1dc6df,2021-06-17,56426,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
13,b10e831a-abb3-40d8-b3d3-8dba2c5a3e73,2021-06-17,56426,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
14,3ce793f2-2625-4e5b-93fd-01c3c899887b,2021-06-17,56426,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
15,e0b2c8ba-330d-440d-9cf6-c6c2b4e79d9d,2021-06-17,51691,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
16,e6bd01bf-f220-4be5-9ebf-e03618d88697,2021-06-17,51691,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
17,aa51af33-e23f-4ea8-8799-ef6f19599621,2021-06-17,58214,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
18,ef1ef89b-adf8-4d30-ae02-9977d712fb21,2021-06-17,58214,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
19,1861d942-debf-4ab1-b5de-6d803680c9e9,2021-06-17,58214,lack_enough_food,"if HH reports they (a) skipped meals, (b) ate less, (c) ran out of food, (d) did not eat or (e) did not eat at all, but also reports they were not worried about food",Flagged,NA,yes,NA,2
